zcyc

tradedate;tradetime;period_5.0
19.01.2017;18:39:58;7,94
20.01.2017;18:39:56;7,9
23.01.2017;18:39:59;7,91
24.01.2017;18:39:59;7,96
25.01.2017;18:39:56;8,05
26.01.2017;18:39:55;8,1
27.01.2017;18:39:50;7,96
30.01.2017;18:39:30;8,01
31.01.2017;18:39:58;8,01
01.02.2017;18:39:45;7,98
02.02.2017;18:39:51;7,98
03.02.2017;18:39:52;8,01
06.02.2017;18:39:59;7,96
07.02.2017;18:39:56;8,07
08.02.2017;18:39:49;8,07
09.02.2017;18:39:58;8,01
10.02.2017;18:39:59;8,02
13.02.2017;18:39:59;7,98
14.02.2017;17:17:14;7,98
15.02.2017;18:39:36;8,12
16.02.2017;18:39:58;8,21
17.02.2017;18:39:58;8,24
20.02.2017;18:39:51;8,23
21.02.2017;18:39:58;8,27
22.02.2017;18:39:57;8,27
24.02.2017;18:39:53;8,31
27.02.2017;18:39:55;8,22
28.02.2017;18:39:53;8,32
01.03.2017;18:39:53;8,32
02.03.2017;18:39:58;8,33
03.03.2017;18:39:57;8,26
06.03.2017;18:39:59;8,31
07.03.2017;18:38:38;8,26
09.03.2017;18:39:40;8,2
10.03.2017;18:39:59;8,13
13.03.2017;18:39:58;8,13
14.03.2017;18:39:57;8,16
15.03.2017;18:39:38;8,07
16.03.2017;18:39:59;7,98
17.03.2017;18:39:48;7,95
20.03.2017;18:37:01;7,94
21.03.2017;18:39:56;7,97
22.03.2017;18:39:15;8,02
23.03.2017;18:39:38;8,0
24.03.2017;18:39:36;8,0
27.03.2017;18:39:49;7,97
28.03.2017;18:39:58;7,96
29.03.2017;18:39:56;7,94
30.03.2017;18:39:58;7,88
31.03.2017;18:39:45;7,94
03.04.2017;18:39:49;7,94
04.04.2017;18:39:57;7,95
